Rank,Club / Country,Club,Country,ELO
469,FC VasluiRomania,FC Vaslui,Romania,1456
470,KasımpaşaTurkey,Kasımpaşa,Turkey,1456
471,Casa PiaPortugal,Casa Pia,Portugal,1455
472,SienaItaly,Siena,Italy,1455
473,Mushuc Runa SCEcuador,Mushuc Runa SC,Ecuador,1454
474,Philadelphia UnionUnited States,Philadelphia Union,United States,1454
475,Eintracht BraunschweigGermany,Eintracht Braunschweig,Germany,1454
476,CoritibaBrazil,Coritiba,Brazil,1454
477,Club TijuanaMexico,Club Tijuana,Mexico,1454
478,Hradec KrálovéCzech Republic,Hradec Králové,Czech Republic,1454
479,Jagiellonia BiałystokPoland,Jagiellonia Białystok,Poland,1454
480,TiraspolMoldova,Tiraspol,Moldova,1452
481,Polissya ZhytomyrUkraine,Polissya Zhytomyr,Ukraine,1452
482,Club AfricainTunisia,Club Africain,Tunisia,1452
483,Ponte PretaBrazil,Ponte Preta,Brazil,1451
484,Deportivo CuencaEcuador,Deportivo Cuenca,Ecuador,1451
485,Real EstelíNicaragua,Real Estelí,Nicaragua,1451
486,Bidvest WitsSouth Africa,Bidvest Wits,South Africa,1451
487,FC Milsami OrheiMoldova,FC Milsami Orhei,Moldova,1451
488,SC Paderborn 07Germany,SC Paderborn 07,Germany,1451
489,Tobol KostanayKazakhstan,Tobol Kostanay,Kazakhstan,1451
490,GranadaSpain,Granada,Spain,1450
491,Rio AvePortugal,Rio Ave,Portugal,1449
492,FK Desna ChernihivUkraine,FK Desna Chernihiv,Ukraine,1449
493,OsijekCroatia,Osijek,Croatia,1448
494,Gimcheon Sangmu FCSouth Korea,Gimcheon Sangmu FC,South Korea,1448
495,Queens Park RangersEngland,Queens Park Rangers,England,1448
496,Nîmes OlympiqueFrance,Nîmes Olympique,France,1447
497,HibernianScotland,Hibernian,Scotland,1447
498,Universidad CatólicaChile,Universidad Católica,Chile,1447
499,Nueva ChicagoArgentina,Nueva Chicago,Argentina,1447
500,Clermont FootFrance,Clermont Foot,France,1446
501,MálagaSpain,Málaga,Spain,1446
502,Topolski Sportski ClubSerbia,Topolski Sportski Club,Serbia,1445
503,Gimnasia y Esgrima La PlataArgentina,Gimnasia y Esgrima La Plata,Argentina,1445
504,Sport RecifeBrazil,Sport Recife,Brazil,1445
505,Deportivo PastoColombia,Deportivo Pasto,Colombia,1444
506,SC HeerenveenNetherlands,SC Heerenveen,Netherlands,1444
507,FC SeoulSouth Korea,FC Seoul,South Korea,1443
508,Ipswich Town F.C.England,Ipswich Town F.C.,England,1443
509,MiddlesbroughEngland,Middlesbrough,England,1443
510,Racing ClubUruguay,Racing Club,Uruguay,1442
511,LuganoSwitzerland,Lugano,Switzerland,1442
512,ŽilinaSlovakia,Žilina,Slovakia,1442
513,FK SarajevoBosnia and Herzegovina,FK SarajevoBosnia and,Herzegovina,1442
514,Iskra-StalMoldova,Iskra-Stal,Moldova,1441
515,San Martín de TucumánArgentina,San Martín de Tucumán,Argentina,1441
516,Delfin SCEcuador,Delfin SC,Ecuador,1440
517,HonkaFinland,Honka,Finland,1440
518,Unión Santa FeArgentina,Unión Santa Fe,Argentina,1440
519,FC Inter Turku (FIN)Finland,FC Inter Turku (FIN),Finland,1440
520,FK RostovRussia,FK Rostov,Russia,1440
521,BK HäckenSweden,BK Häcken,Sweden,1439
522,SarmientoArgentina,Sarmiento,Argentina,1439
523,NancyFrance,Nancy,France,1439
524,EmelecEcuador,Emelec,Ecuador,1439
525,Evian TGFrance,Evian TG,France,1439
526,GFC AjaccioFrance,GFC Ajaccio,France,1438
527,Mohun Bagan Super GiantIndia,Mohun Bagan Super Giant,India,1437
528,Santo AndréBrazil,Santo André,Brazil,1437
529,AlanyasporTurkey,Alanyaspor,Turkey,1437
530,América MineiroBrazil,América Mineiro,Brazil,1436
531,Pakhtakor TashkentUzbekistan,Pakhtakor Tashkent,Uzbekistan,1436
532,Saint-Eloi LupopoCongo DR,Saint-Eloi LupopoCongo DR,#N/A,1436
533,Rapid BucureştiRomania,Rapid Bucureşti,Romania,1436
534,Remo StarsNigeria,Remo Stars,Nigeria,1435
535,IslochBelarus,Isloch,Belarus,1435
536,KV MechelenBelgium,KV Mechelen,Belgium,1435
537,Orlando CityUnited States,Orlando City,United States,1434
538,Boston RiverUruguay,Boston River,Uruguay,1434
539,CiencianoPeru,Cienciano,Peru,1434
540,FigueirenseBrazil,Figueirense,Brazil,1434
541,Cerezo OsakaJapan,Cerezo Osaka,Japan,1433
542,Ordabasy ShymkentKazakhstan,Ordabasy Shymkent,Kazakhstan,1433
543,Heart of MidlothianScotland,Heart of Midlothian,Scotland,1433
544,Metalurh DonetskUkraine,Metalurh Donetsk,Ukraine,1432
545,Al MasryEgypt,Al Masry,Egypt,1432
546,Bangor CityWales,Bangor City,Wales,1432
547,SunderlandEngland,Sunderland,England,1432
548,AL Ansar SCLebanon,AL Ansar SC,Lebanon,1432
549,Sportivo AmelianoParaguay,Sportivo Ameliano,Paraguay,1432
550,ÁguilaEl Salvador,Águila,El Salvador,1432
551,AktobeKazakhstan,Aktobe,Kazakhstan,1432
552,ReadingEngland,Reading,England,1431
553,AngersFrance,Angers,France,1431
554,HérculesSpain,Hércules,Spain,1431
555,Audax Italiano La FloridaChile,Audax Italiano La Florida,Chile,1430
556,Dempo SCIndia,Dempo SC,India,1430
557,Diriangén FCNicaragua,Diriangén FC,Nicaragua,1430
558,Dolphins FCNigeria,Dolphins FC,Nigeria,1429
559,FC ZürichSwitzerland,FC Zürich,Switzerland,1429
560,Hannover 96Germany,Hannover 96,Germany,1429
561,Saint-ÉtienneFrance,Saint-Étienne,France,1429
562,ČukaričkiSerbia,Čukarički,Serbia,1428
563,PortsmouthEngland,Portsmouth,England,1428
564,Gwangju FCSouth Korea,Gwangju FC,South Korea,1428
565,ShelbourneIreland,Shelbourne,Ireland,1427
566,Stellenbosch FCSouth Africa,Stellenbosch FC,South Africa,1427
567,El Jaish (Doha)Qatar,El Jaish (Doha),Qatar,1427
568,Mount Pleasant FCJamaica,Mount Pleasant FC,Jamaica,1427
569,Motema PembeCongo DR,Motema PembeCongo DR,#N/A,1426
570,Amiens SCFrance,Amiens SC,France,1426
571,Al TaawonSaudi Arabia,Al Taawon,Saudi Arabia,1426
572,Sportivo TrinidenseParaguay,Sportivo Trinidense,Paraguay,1425
573,Krylya Sovetov SamaraRussia,Krylya Sovetov Samara,Russia,1425
574,FC UralRussia,FC Ural,Russia,1425
575,AtlasMexico,Atlas,Mexico,1425
576,Sharjah Cultural ClubUnited Arab Emirates,Sharjah Cultural Club,United Arab Emirates,1425
577,BanfieldArgentina,Banfield,Argentina,1424
578,MetzFrance,Metz,France,1424
579,Inter Miami CFUnited States,Inter Miami CF,United States,1424
580,Gil Vicente FCPortugal,Gil Vicente FC,Portugal,1423
581,GOL Gohar Sirjan FCIran,GOL Gohar Sirjan FC,Iran,1423
582,Persib BandungIndonesia,Persib Bandung,Indonesia,1423
583,Guarani FCBrazil,Guarani FC,Brazil,1422
584,Antigua GuatemalaGuatemala,Antigua Guatemala,Guatemala,1422
585,CSD ComunicacionesGuatemala,CSD Comunicaciones,Guatemala,1422
586,Águilas DoradasColombia,Águilas Doradas,Colombia,1422
587,MarathónHonduras,Marathón,Honduras,1422
588,All BoysArgentina,All Boys,Argentina,1422
589,Everton CDChile,Everton CD,Chile,1422
590,ES SétifAlgeria,ES Sétif,Algeria,1421
591,Deportivo HerediaGuatemala,Deportivo Heredia,Guatemala,1421
592,Melbourne City FCAustralia,Melbourne City FC,Australia,1421
593,Atlético RafaelaArgentina,Atlético Rafaela,Argentina,1420
594,BordeauxFrance,Bordeaux,France,1420
595,FC BrestBelarus,FC Brest,Belarus,1420
596,Cerro LargoUruguay,Cerro Largo,Uruguay,1420
597,KonyasporTurkey,Konyaspor,Turkey,1419
598,Defence Force FCTrinidad and Tobago,Defence Force FCTrinidad and,Tobago,1419
599,KaiserslauternGermany,Kaiserslautern,Germany,1419
600,USM AlgerAlgeria,USM Alger,Algeria,1419
601,Muangthong UnitedThailand,Muangthong United,Thailand,1419
602,Port F.C.Thailand,Port F.C.,Thailand,1419
603,FC St. Gallen 1879Switzerland,FC St. Gallen 1879,Switzerland,1418
604,EnyimbaNigeria,Enyimba,Nigeria,1418
605,FC CincinnatiUnited States,FC Cincinnati,United States,1418
606,Nagoya Grampus EightJapan,Nagoya Grampus Eight,Japan,1418
607,Fatih KaragümrükTurkey,Fatih Karagümrük,Turkey,1418
608,DynamosZimbabwe,Dynamos,Zimbabwe,1417
609,Bala Town FCWales,Bala Town FC,Wales,1417
610,FC PlatinumZimbabwe,FC Platinum,Zimbabwe,1416
611,Larne FCNorthern Ireland,Larne FC,Northern Ireland,1416
612,Cercle BruggeBelgium,Cercle Brugge,Belgium,1416
613,SK Sigma OlomoucCzech Republic,SK Sigma Olomouc,Czech Republic,1416
614,MoskvaRussia,Moskva,Russia,1416
615,FC Ruh BrestBelarus,FC Ruh Brest,Belarus,1416
616,CrotoneItaly,Crotone,Italy,1416
617,Al WaslUnited Arab Emirates,Al Wasl,United Arab Emirates,1416
618,Alianza AtléticoPeru,Alianza Atlético,Peru,1416
619,GuingampFrance,Guingamp,France,1415
620,Al-Faisaly SC AmmanJordan,Al-Faisaly SC Amman,Jordan,1415
621,NeftçiAzerbaijan,Neftçi,Azerbaijan,1415
622,Stade TunisienTunisia,Stade Tunisien,Tunisia,1414
623,RizesporTurkey,Rizespor,Turkey,1414
624,FC CSKA 1948 SofiaBulgaria,FC CSKA 1948 Sofia,Bulgaria,1414
625,Asociación Deportiva Tarma (ADT)Peru,Asociación Deportiva Tarma (ADT),Peru,1414
626,Avaí FCBrazil,Avaí FC,Brazil,1414
627,WatfordEngland,Watford,England,1413
628,Santa CruzBrazil,Santa Cruz,Brazil,1412
629,Viitorul ConstanţaRomania,Viitorul Constanţa,Romania,1412
630,Olympic Club de SafiMorocco,Olympic Club de Safi,Morocco,1412
631,CobresalChile,Cobresal,Chile,1411
632,GunnersZimbabwe,Gunners,Zimbabwe,1411
633,Sagrada EsperançaAngola,Sagrada Esperança,Angola,1411
634,Amkar Perm'Russia,Amkar Perm',Russia,1411
635,Foolad KhuzestanIran,Foolad Khuzestan,Iran,1410
636,Nacional PotosíBolivia,Nacional Potosí,Bolivia,1410
637,Hapoel HaifaIsrael,Hapoel Haifa,Israel,1410
638,Farul ConstanțaRomania,Farul Constanța,Romania,1410
639,Gamba OsakaJapan,Gamba Osaka,Japan,1410
640,Universitatea ClujRomania,Universitatea Cluj,Romania,1410
641,Gangwon FCSouth Korea,Gangwon FC,South Korea,1410
642,Dinamo TbilisiGeorgia,Dinamo Tbilisi,Georgia,1409
643,Paradou ACAlgeria,Paradou AC,Algeria,1409
644,ÑublenseChile,Ñublense,Chile,1409
645,Gazişehir Gaziantep FKTurkey,Gazişehir Gaziantep FK,Turkey,1409
646,Bohemian FCIreland,Bohemian FC,Ireland,1409
647,Shakhtyor SoligorskBelarus,Shakhtyor Soligorsk,Belarus,1408
648,FK Zirka KirovohradUkraine,FK Zirka Kirovohrad,Ukraine,1408
649,Enugu RangersNigeria,Enugu Rangers,Nigeria,1408
650,Real EspañaHonduras,Real España,Honduras,1408
651,BeneventoItaly,Benevento,Italy,1408
652,VPSFinland,VPS,Finland,1408
653,Mahindra UnitedIndia,Mahindra United,India,1408
654,KayserisporTurkey,Kayserispor,Turkey,1407
655,Incheon UnitedSouth Korea,Incheon United,South Korea,1407
656,WesterloBelgium,Westerlo,Belgium,1407
657,Plateau UnitedNigeria,Plateau United,Nigeria,1407
658,Botev PlovdivBulgaria,Botev Plovdiv,Bulgaria,1407
659,FC Dinamo BatumiGeorgia,FC Dinamo Batumi,Georgia,1407
660,Técnico UniversitarioEcuador,Técnico Universitario,Ecuador,1407
661,SampdoriaItaly,Sampdoria,Italy,1407
662,Kuban' KrasnodarRussia,Kuban' Krasnodar,Russia,1406
663,Le MansFrance,Le Mans,France,1406
664,Rukh VynnykyUkraine,Rukh Vynnyky,Ukraine,1405
665,AS Réal BamakoMali,AS Réal Bamako,Mali,1405
666,XelajúGuatemala,Xelajú,Guatemala,1405
667,Club Atlético GrauPeru,Club Atlético Grau,Peru,1405
668,Colón Santa FeArgentina,Colón Santa Fe,Argentina,1405
669,JS SaouraAlgeria,JS Saoura,Algeria,1405
670,River Plate PRPuerto Rico,River Plate PR,Puerto Rico,1405
671,NŠ MuraSlovenia,NŠ Mura,Slovenia,1405
672,Joinville ECBrazil,Joinville EC,Brazil,1404
673,AGFDenmark,AGF,Denmark,1404
674,Nejmeh SCLebanon,Nejmeh SC,Lebanon,1404
675,New York Red BullsUnited States,New York Red Bulls,United States,1404
676,Minnesota UnitedUnited States,Minnesota United,United States,1404
677,ZESCO UnitedZambia,ZESCO United,Zambia,1403
678,QuerétaroMexico,Querétaro,Mexico,1403
679,HuachipatoChile,Huachipato,Chile,1401
680,LuzernSwitzerland,Luzern,Switzerland,1401
681,GomelBelarus,Gomel,Belarus,1401
682,Coban ImperialGuatemala,Coban Imperial,Guatemala,1401
683,Stade Renard de MelongCameroon,Stade Renard de Melong,Cameroon,1401
684,LokomotivaCroatia,Lokomotiva,Croatia,1400
685,Nacional AsunciónParaguay,Nacional Asunción,Paraguay,1400
686,FC JuárezMexico,FC Juárez,Mexico,1400
687,BG Pathum UnitedThailand,BG Pathum United,Thailand,1400
688,SaturnRussia,Saturn,Russia,1399
689,Gazelle FC de GarouaCameroon,Gazelle FC de Garoua,Cameroon,1399
690,Fortuna SittardNetherlands,Fortuna Sittard,Netherlands,1399
691,TemperleyArgentina,Temperley,Argentina,1399
692,Arsenal de SarandíArgentina,Arsenal de Sarandí,Argentina,1399
693,Power DynamosZambia,Power Dynamos,Zambia,1399
694,GrenobleFrance,Grenoble,France,1399
695,Beitar Jerusalem FCIsrael,Beitar Jerusalem FC,Israel,1398
696,Piast GliwicePoland,Piast Gliwice,Poland,1398
697,Al Qadsiah FCSaudi Arabia,Al Qadsiah FC,Saudi Arabia,1398
698,U.S. Salernitana 1919Italy,U.S. Salernitana 1919,Italy,1398
699,BariItaly,Bari,Italy,1398
700,PalermoItaly,Palermo,Italy,1397
701,NK BravoSlovenia,NK Bravo,Slovenia,1397
702,Al-RayyanQatar,Al-Rayyan,Qatar,1397
703,SutjeskaMontenegro,Sutjeska,Montenegro,1396
704,HeraclesNetherlands,Heracles,Netherlands,1396
705,EyüpsporTurkey,Eyüpspor,Turkey,1396
706,Vinotinto F.C. EcuadorEcuador,Vinotinto F.C. Ecuador,Ecuador,1396
707,Greuther FürthGermany,Greuther Fürth,Germany,1396
708,AC MonzaItaly,AC Monza,Italy,1396
709,Astra PloieştiRomania,Astra Ploieşti,Romania,1395
710,ASO ChlefAlgeria,ASO Chlef,Algeria,1395
711,FC Iberia 1999Georgia,FC Iberia 1999,Georgia,1395
712,Motor ActionZimbabwe,Motor Action,Zimbabwe,1394
713,Daejeon CitizenSouth Korea,Daejeon Citizen,South Korea,1394
714,BoulogneFrance,Boulogne,France,1394
715,CS Alagoano ALBrazil,CS Alagoano AL,Brazil,1394
716,AL GharafaQatar,AL Gharafa,Qatar,1394
717,Dila GoriGeorgia,Dila Gori,Georgia,1394
718,Unión La CaleraChile,Unión La Calera,Chile,1394
719,Randers FCDenmark,Randers FC,Denmark,1394
720,CaenFrance,Caen,France,1394
721,Radnički 1923 KragujevacSerbia,Radnički 1923 Kragujevac,Serbia,1394
722,AL Ettifaq FCSaudi Arabia,AL Ettifaq FC,Saudi Arabia,1394
723,Sint-TruidenBelgium,Sint-Truiden,Belgium,1393
724,Independiente FBC (Campo Grande)Paraguay,Independiente FBC (Campo Grande),Paraguay,1393
725,Seinaejoen JKFinland,Seinaejoen JK,Finland,1393
726,Portland TimbersUnited States,Portland Timbers,United States,1393
727,Lokomotiv PlovdivBulgaria,Lokomotiv Plovdiv,Bulgaria,1393
728,Grêmio PrudenteBrazil,Grêmio Prudente,Brazil,1393
729,DanubioUruguay,Danubio,Uruguay,1393
730,Simba SCTanzania,Simba SC,Tanzania,1392
731,Pune FCIndia,Pune FC,India,1392
732,Tromsø ILNorway,Tromsø IL,Norway,1392
733,Asante KotokoGhana,Asante Kotoko,Ghana,1391
734,NürnbergGermany,Nürnberg,Germany,1391
735,Alianza FCColombia,Alianza FC,Colombia,1391
736,ZimbruMoldova,Zimbru,Moldova,1391
737,Kashiwa ReysolJapan,Kashiwa Reysol,Japan,1391
738,Sport HuancayoPeru,Sport Huancayo,Peru,1390
739,FC OrenburgRussia,FC Orenburg,Russia,1390
740,Abia WarriorsNigeria,Abia Warriors,Nigeria,1390
741,Zob Ahan Isfahan FCIran,Zob Ahan Isfahan FC,Iran,1390
742,CartaginésCosta Rica,Cartaginés,Costa Rica,1390
743,SilkeborgDenmark,Silkeborg,Denmark,1390
744,Polonia WarszawaPoland,Polonia Warszawa,Poland,1390
745,AuroraBolivia,Aurora,Bolivia,1389
746,FC UfaRussia,FC Ufa,Russia,1389
747,Club Deportivo GarcilasoPeru,Club Deportivo Garcilaso,Peru,1389
748,FC Machida ZelviaJapan,FC Machida Zelvia,Japan,1388
749,Modern Sport FCEgypt,Modern Sport FC,Egypt,1388
750,FC TokyoJapan,FC Tokyo,Japan,1388
751,Mladá BoleslavCzech Republic,Mladá Boleslav,Czech Republic,1388
752,Bohemians 1905Czech Republic,Bohemians 1905,Czech Republic,1388
753,Maghreb FèsMorocco,Maghreb Fès,Morocco,1388
754,New York City FCUnited States,New York City FC,United States,1388
755,HighlandersZimbabwe,Highlanders,Zimbabwe,1388
756,TepliceCzech Republic,Teplice,Czech Republic,1387
757,ValenciennesFrance,Valenciennes,France,1387
758,Zhejiang ProfessionalChina PR,Zhejiang ProfessionalChina PR,#N/A,1387
759,ŽeljezničarBosnia and Herzegovina,ŽeljezničarBosnia and,Herzegovina,1387
760,Ceramica CleopatraEgypt,Ceramica Cleopatra,Egypt,1386
761,SivassporTurkey,Sivasspor,Turkey,1386
762,DarmstadtGermany,Darmstadt,Germany,1386
763,Gornik ZabrzePoland,Gornik Zabrze,Poland,1386
764,Chernomorets BurgasBulgaria,Chernomorets Burgas,Bulgaria,1386
765,AtromitosGreece,Atromitos,Greece,1386
766,AS NikaCongo DR,AS NikaCongo DR,#N/A,1385
767,TSV HartbergAustria,TSV Hartberg,Austria,1385
768,Kyoto Sanga FCJapan,Kyoto Sanga FC,Japan,1385
769,Racing SantanderSpain,Racing Santander,Spain,1385
770,FC GroningenNetherlands,FC Groningen,Netherlands,1385
771,KavalaGreece,Kavala,Greece,1384
772,MP AntalyasporTurkey,MP Antalyaspor,Turkey,1384
773,Union Sportive de DoualaCameroon,Union Sportive de Douala,Cameroon,1384
774,IFK GöteborgSweden,IFK Göteborg,Sweden,1383
775,Mazatlán FCMexico,Mazatlán FC,Mexico,1383
776,Norwich CityEngland,Norwich City,England,1382
777,Oud-Heverlee LeuvenBelgium,Oud-Heverlee Leuven,Belgium,1382
778,Göztepe AŞTurkey,Göztepe AŞ,Turkey,1382
779,Olympique de BamakoMali,Olympique de Bamako,Mali,1382
780,Gyeongnam FCSouth Korea,Gyeongnam FC,South Korea,1382
781,ViborgDenmark,Viborg,Denmark,1382
782,FC Kolos KovalivkaUkraine,FC Kolos Kovalivka,Ukraine,1382
783,Penybont FCWales,Penybont FC,Wales,1381
784,National BankEgypt,National Bank,Egypt,1381
785,Sarpsborg 08Norway,Sarpsborg 08,Norway,1381
786,SéwéIvory Coast,Séwé,Ivory Coast,1381
787,Lobos B.U.A.P.Mexico,Lobos B.U.A.P.,Mexico,1381
788,Johor Darul Ta'zim FCMalaysia,Johor Darul Ta'zim FC,Malaysia,1381
789,Juventud de Las PiedrasUruguay,Juventud de Las Piedras,Uruguay,1381
790,LausanneCameroon,Lausanne,Cameroon,1381
791,San Diego FCUruguay,San Diego FC,Uruguay,1380
792,Arnett GardensJamaica,Arnett Gardens,Jamaica,1380
793,Universidad ConcepciónChile,Universidad Concepción,Chile,1380
794,Slavia SofiaBulgaria,Slavia Sofia,Bulgaria,1380
795,Shooting StarsNigeria,Shooting Stars,Nigeria,1380
796,Deportivo TáchiraVenezuela,Deportivo Táchira,Venezuela,1379
797,Standard LiègeBelgium,Standard Liège,Belgium,1379
798,Cracovia KrakówPoland,Cracovia Kraków,Poland,1379
799,Navbahor NamanganUzbekistan,Navbahor Namangan,Uzbekistan,1379
800,DebrecenHungary,Debrecen,Hungary,1379
801,Al-JaziraUnited Arab Emirates,Al-Jazira,United Arab Emirates,1379
802,Bendel InsuranceNigeria,Bendel Insurance,Nigeria,1378
803,Fortaleza CEIF FCColombia,Fortaleza CEIF FC,Colombia,1378
804,Canon SportifCameroon,Canon Sportif,Cameroon,1378
805,Houston DynamoUnited States,Houston Dynamo,United States,1378
806,St. MirrenScotland,St. Mirren,Scotland,1378
807,AldosiviArgentina,Aldosivi,Argentina,1377
808,Jeju UnitedSouth Korea,Jeju United,South Korea,1377
809,Interclube de AngolaAngola,Interclube de Angola,Angola,1377
810,CD AntofagastaChile,CD Antofagasta,Chile,1377
811,AFC Herrmannstadt SibiuRomania,AFC Herrmannstadt Sibiu,Romania,1377
812,GlentoranNorthern Ireland,Glentoran,Northern Ireland,1377
813,NK Istra 1961Croatia,NK Istra 1961,Croatia,1377
814,Chievo VeronaItaly,Chievo Verona,Italy,1377
815,SiriusSweden,Sirius,Sweden,1376
816,BursasporTurkey,Bursaspor,Turkey,1376
817,Persipura JayapuraIndonesia,Persipura Jayapura,Indonesia,1376
818,Paraná ClubeBrazil,Paraná Clube,Brazil,1376
819,MC OranAlgeria,MC Oran,Algeria,1376
820,Nashville SCUnited States,Nashville SC,United States,1376
821,Sevilla FC Puerto RicoPuerto Rico,Sevilla FC Puerto Rico,Puerto Rico,1375
822,BresciaItaly,Brescia,Italy,1375
823,Plaza ColoniaUruguay,Plaza Colonia,Uruguay,1375
824,sekhukhune united fcSouth Africa,sekhukhune united fc,South Africa,1375
825,Novi PazarSerbia,Novi Pazar,Serbia,1375
826,MacaráEcuador,Macará,Ecuador,1375
827,Deportivo CaliColombia,Deportivo Cali,Colombia,1375
828,CD Plaza AmadorPanama,CD Plaza Amador,Panama,1375
829,Tauro FCPanama,Tauro FC,Panama,1374
830,Charlotte FCUruguay,Charlotte FC,Uruguay,1374
831,Arsenal TulaRussia,Arsenal Tula,Russia,1374
832,UMS de LoumCameroon,UMS de Loum,Cameroon,1374
833,Sepsi OSKRomania,Sepsi OSK,Romania,1373
834,San Martín San JuanArgentina,San Martín San Juan,Argentina,1373
835,Osmanlıspor FKTurkey,Osmanlıspor FK,Turkey,1373
836,San PedroIvory Coast,San Pedro,Ivory Coast,1373
837,MC El BayadhAlgeria,MC El Bayadh,Algeria,1373
838,Deportivo RecoletaParaguay,Deportivo Recoleta,Paraguay,1373
839,Red ArrowsZambia,Red Arrows,Zambia,1372
840,SalgaocarIndia,Salgaocar,India,1372
841,Hekari UnitedPapua New Guinea,Hekari United,Papua New Guinea,1372
842,Karpaty LvivUkraine,Karpaty Lviv,Ukraine,1372
843,Independiente de La ChorreraPanama,Independiente de La Chorrera,Panama,1371
844,Vitória SetúbalPortugal,Vitória Setúbal,Portugal,1371
845,Sheffield United FCEngland,Sheffield United FC,England,1371
846,Leones Negros U. de G.Mexico,Leones Negros U. de G.,Mexico,1371
847,Pusamania Borneo FCIndonesia,Pusamania Borneo FC,Indonesia,1371
848,CliftonvilleNorthern Ireland,Cliftonville,Northern Ireland,1370
849,Akwa UnitedNigeria,Akwa United,Nigeria,1370
850,FC Torpedo MoscowRussia,FC Torpedo Moscow,Russia,1370
851,FredrikstadNorway,Fredrikstad,Norway,1370
852,Pandurii Târgu JiuRomania,Pandurii Târgu Jiu,Romania,1370
853,Slavia-MozyrBelarus,Slavia-Mozyr,Belarus,1370
854,Eding Sport FCCameroon,Eding Sport FC,Cameroon,1370
855,AnkaragücüTurkey,Ankaragücü,Turkey,1370
856,FK Kauno ZalgirisLithuania,FK Kauno Zalgiris,Lithuania,1369
857,SouthamptonEngland,Southampton,England,1369
858,New England RevolutionUnited States,New England Revolution,United States,1369
859,Sydney FCAustralia,Sydney FC,Australia,1369
860,Al Khartoum SCSudan,Al Khartoum SC,Sudan,1369
861,Deportes TemucoChile,Deportes Temuco,Chile,1369
862,Chicken Inn FCZimbabwe,Chicken Inn FC,Zimbabwe,1369
863,Pwd BamendaCameroon,Pwd Bamenda,Cameroon,1369
864,Al-Hussein SC IrbidJordan,Al-Hussein SC Irbid,Jordan,1368
865,Aluminium ArakIran,Aluminium Arak,Iran,1368
866,Daegu FCSouth Korea,Daegu FC,South Korea,1368
867,Tokyo VerdyJapan,Tokyo Verdy,Japan,1368
868,NK VaraždinCroatia,NK Varaždin,Croatia,1368
869,Sabah FKAzerbaijan,Sabah FK,Azerbaijan,1368
870,O'HigginsChile,O'Higgins,Chile,1368
871,Renaissance Club ZemamraMorocco,Renaissance Club Zemamra,Morocco,1367
872,AEL LimassolCyprus,AEL Limassol,Cyprus,1367
873,Unión EspañolaChile,Unión Española,Chile,1367
874,Jeanne d'Arc de BamakoMali,Jeanne d'Arc de Bamako,Mali,1367
875,Kano PillarsNigeria,Kano Pillars,Nigeria,1367
876,Al-IttihadLibya,Al-Ittihad,Libya,1367
877,IraklisGreece,Iraklis,Greece,1367
878,Irtysh PavlodarKazakhstan,Irtysh Pavlodar,Kazakhstan,1367
879,SC FarensePortugal,SC Farense,Portugal,1367
880,Oţelul GalaţiRomania,Oţelul Galaţi,Romania,1367
881,Hegelmann Litauen KaunasLithuania,Hegelmann Litauen Kaunas,Lithuania,1367
882,Unisport FC Du Haut-NkamCameroon,Unisport FC Du Haut-Nkam,Cameroon,1367
883,Bayelsa UnitedNigeria,Bayelsa United,Nigeria,1367
884,LA GalaxyUnited States,LA Galaxy,United States,1366
885,FC VerisMoldova,FC Veris,Moldova,1366
886,MontpellierFrance,Montpellier,France,1366
887,Ashanti Gold FCGhana,Ashanti Gold FC,Ghana,1366
888,Waitakere UnitedNew Zealand,Waitakere United,New Zealand,1366
889,Avispa FukuokaJapan,Avispa Fukuoka,Japan,1366
890,Maccabi NetanyaIsrael,Maccabi Netanya,Israel,1366
891,ThunSwitzerland,Thun,Switzerland,1366
892,Real Salt LakeUnited States,Real Salt Lake,United States,1366
893,Tianjin Jinmen Tiger F.C.China PR,Tianjin Jinmen Tiger F.C.China PR,#N/A,1365
894,RužomberokSlovakia,Ružomberok,Slovakia,1365
895,GAISSweden,GAIS,Sweden,1365
896,Maxline VitebskBelarus,Maxline Vitebsk,Belarus,1365
897,Kabuscorp SCPAngola,Kabuscorp SCP,Angola,1365
898,SlováckoCzech Republic,Slovácko,Czech Republic,1364
899,BloomingBolivia,Blooming,Bolivia,1364
900,Academia F. Amadou DialloIvory Coast,Academia F. Amadou Diallo,Ivory Coast,1363
901,2 de MayoParaguay,2 de Mayo,Paraguay,1363
902,Hapoel JerusalemIsrael,Hapoel Jerusalem,Israel,1363
903,PFC Lokomotiv Sofia 1929Bulgaria,PFC Lokomotiv Sofia 1929,Bulgaria,1363
904,Córdoba CFSpain,Córdoba CF,Spain,1363
905,Deportivo MalacatecoGuatemala,Deportivo Malacateco,Guatemala,1362
906,TS GalaxySouth Africa,TS Galaxy,South Africa,1362
907,VålerengaNorway,Vålerenga,Norway,1362
908,PortimonensePortugal,Portimonense,Portugal,1361
909,AberdeenScotland,Aberdeen,Scotland,1361
910,Mouscron-PéruwelzBelgium,Mouscron-Péruwelz,Belgium,1361
911,Al-Faisaly FC HarmahSaudi Arabia,Al-Faisaly FC Harmah,Saudi Arabia,1361
912,Ikorodu CityNigeria,Ikorodu City,Nigeria,1361
913,CA BizertinTunisia,CA Bizertin,Tunisia,1361
