,,,,,,,,,,,,,,,,,
Site,Date,Time,Market,Player,Team,Game,,Batting Order,,,,Over,Under,Implied Projection,The Bat X Projection,Implied BatX % Difference,Suggested Bet
FanDuel,Jul 3,7:15 PM,Hits,Nolan Schanuel,LAA,LAA@ATL,,2,,,,0.5 (-250),,1.12,1.14,1.90%,OVER
FanDuel,Jul 3,7:10 PM,Hits,Brice Turang,MIL,MIL@NYM,,7,,,,0.5 (-165),,0.91,0.93,1.92%,OVER
FanDuel,Jul 3,7:10 PM,Hits,Jackson Chourio,MIL,MIL@NYM,,2,,,,0.5 (-240),,1.09,1.12,2.13%,OVER
BallyBet,Jul 3,7:07 PM,Hits,Aaron Judge,NYY,NYY@TOR,,2,,,,0.5 (-220),,1.05,1.07,2.28%,OVER
BallyBet,Jul 3,12:10 PM,Hits,Willi Castro,MIN,MIN@MIA,,3,,,,0.5 (-152),,0.87,0.89,2.33%,OVER
Fliff,Jul 3,3:10 PM,Hits,Ryan Ritter,COL,HOU@COL,,9,,,,0.5 (-200),0.5 (+140),1,1.03,2.62%,OVER
BetMGM,Jul 3,3:10 PM,Hits,Ryan Ritter,COL,HOU@COL,,9,,,,0.5 (-200),0.5 (+150),1,1.03,2.62%,OVER
ESPN BET,Jul 3,3:10 PM,Hits,Ryan Ritter,COL,HOU@COL,,9,,,,0.5 (-200),0.5 (+140),1,1.03,2.62%,OVER
BetMGM,Jul 3,7:07 PM,Hits,Nathan Lukes,TOR,NYY@TOR,,6,,,,0.5 (-160),0.5 (+125),0.9,0.92,2.67%,OVER
Bovada,Jul 3,3:10 PM,Hits,Brenton Doyle,COL,HOU@COL,,6,,,,0.5 (-260),0.5 (+190),1.14,1.17,2.78%,OVER
Fanatics,Jul 3,7:15 PM,Hits,Jorge Soler,LAA,LAA@ATL,,6,,,,0.5 (-155),0.5 (+120),0.88,0.91,3.11%,OVER
BetBuilder,Jul 3,7:10 PM,Hits,Brice Turang,MIL,MIL@NYM,,7,,,,0.5 (-161),0.5 (+124),0.9,0.93,3.28%,OVER
ESPN BET,Jul 3,6:45 PM,Hits,CJ Abrams,WSH,DET@WSH,,1,,,,0.5 (-225),0.5 (+160),1.06,1.09,3.39%,OVER
BetBuilder,Jul 3,3:10 PM,Hits,Ryan McMahon,COL,HOU@COL,,5,,,,0.5 (-182),0.5 (+138),0.96,0.99,3.46%,OVER
ESPN BET,Jul 3,7:10 PM,Hits,Brice Turang,MIL,MIL@NYM,,7,,,,0.5 (-160),0.5 (+115),0.9,0.93,3.63%,OVER
Fanatics,Jul 3,6:45 PM,Hits,CJ Abrams,WSH,DET@WSH,,1,,,,0.5 (-220),0.5 (+165),1.05,1.09,4.49%,OVER
Bet365,Jul 3,7:10 PM,Hits,Brice Turang,MIL,MIL@NYM,,7,,,,0.5 (-156),0.5 (+125),0.88,0.93,5.10%,OVER
BetMGM,Jul 3,7:15 PM,Hits,Nolan Schanuel,LAA,LAA@ATL,,2,,,,0.5 (-235),0.5 (+175),1.08,1.14,5.10%,OVER
FanDuel,Jul 3,6:45 PM,Hits,James Wood,WSH,DET@WSH,,2,,,,0.5 (-240),,1.09,1.15,5.51%,OVER
BallyBet,Jul 3,7:07 PM,Hits,Jazz Chisholm,NYY,NYY@TOR,,5,,,,0.5 (-152),,0.87,0.92,5.55%,OVER
BetRivers,Jul 3,7:10 PM,Hits,Juan Soto,NYM,MIL@NYM,,3,,,,0.5 (-177),,0.94,1,5.81%,OVER
BetRivers,Jul 3,7:07 PM,Hits,Ben Rice,NYY,NYY@TOR,,1,,,,0.5 (-165),,0.91,0.97,6.70%,OVER
BallyBet,Jul 3,7:07 PM,Hits,Ben Rice,NYY,NYY@TOR,,1,,,,0.5 (-165),,0.91,0.97,6.70%,OVER
Fanatics,Jul 3,3:10 PM,Hits,Ryan McMahon,COL,HOU@COL,,5,,,,0.5 (-170),0.5 (+130),0.92,0.99,7.14%,OVER
Fliff,Jul 3,3:10 PM,Hits,Ryan McMahon,COL,HOU@COL,,5,,,,0.5 (-170),0.5 (+120),0.92,0.99,7.14%,OVER
Bet365,Jul 3,12:10 PM,Hits,Trevor Larnach,MIN,MIN@MIA,,2,,,,0.5 (-141),0.5 (+110),0.83,0.9,7.71%,OVER
Fanatics,Jul 3,7:07 PM,Hits,Jazz Chisholm,NYY,NYY@TOR,,5,,,,0.5 (-145),0.5 (+110),0.85,0.92,8.40%,OVER
Bet365,Jul 3,6:45 PM,Hits,James Wood,WSH,DET@WSH,,2,,,,0.5 (-227),0.5 (+175),1.06,1.15,8.41%,OVER
ESPN BET,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),0.5 (+140),1,1.1,9.30%,OVER
BallyBet,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),,1,1.1,9.30%,OVER
BetRivers,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),,1,1.1,9.30%,OVER
Hard Rock,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),0.5 (+150),1,1.1,9.30%,OVER
DraftKings,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),0.5 (+145),1,1.1,9.30%,OVER
Bovada,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),0.5 (+150),1,1.1,9.30%,OVER
BetMGM,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),0.5 (+150),1,1.1,9.30%,OVER
Fanatics,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-200),0.5 (+150),1,1.1,9.30%,OVER
BetRivers,Jul 3,7:07 PM,Hits,Nathan Lukes,TOR,NYY@TOR,,6,,,,0.5 (-143),,0.84,0.92,9.36%,OVER
BallyBet,Jul 3,7:07 PM,Hits,Nathan Lukes,TOR,NYY@TOR,,6,,,,0.5 (-143),,0.84,0.92,9.36%,OVER
BetBuilder,Jul 3,6:45 PM,Hits,James Wood,WSH,DET@WSH,,2,,,,0.5 (-222),0.5 (+168),1.05,1.15,9.54%,OVER
Fliff,Jul 3,3:10 PM,Hits,Kyle Farmer,COL,HOU@COL,,2,,,,0.5 (-205),0.5 (+140),1.01,1.12,10.39%,OVER
BetBuilder,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-192),0.5 (+147),0.98,1.1,11.61%,OVER
Bet365,Jul 3,7:15 PM,Hits,Taylor Ward,LAA,LAA@ATL,,4,,,,0.5 (-192),0.5 (+155),0.98,1.1,11.61%,OVER
DraftKings,Jul 3,3:10 PM,Hits,Ryan McMahon,COL,HOU@COL,,5,,,,0.5 (-150),0.5 (+110),0.86,0.99,14.73%,OVER
FanDuel,Jul 3,10:10 PM,Hits,Brooks Baldwin,CWS,CWS@LAD,,8,,,,0.5 (-110),,0.72,0.83,14.88%,OVER
